Area (m²),Elevation (m),Volume (m³)
7648.137849726905,441.0,13596.689510625609
19545.241171524314,442.0,38665.58579584157
30592.55139890762,443.0,75206.6888556479
42489.65472070503,444.0,123219.99869004458
53536.96494808834,445.0,183555.30839344574
67133.65445871395,446.0,263010.96272116416
91777.65419672287,447.0,366685.72023968445
115571.86084031768,448.0,486081.6500048656
123219.99869004458,449.0,612700.8210725666
130018.34344535739,450.0,745693.4403483733
135966.8951062561,451.0,884209.7147378717
141065.6536727407,452.0,1031223.9200715111
152962.75699453813,453.0,1192684.60801019
169958.61888282013,454.0,1371566.0543843582
187804.27386551624,455.0,1569567.8453828436
208199.30813145466,456.0,1788814.4637416815
230293.92858622127,457.0,2031005.4956497003
254088.13522981608,458.0,2294016.4583708644
271933.7902125122,459.0,2578272.248452381
296577.7899505211,460.0,2883772.8658942506
314423.4449332172,461.0,3209668.517602058
337367.8584823979,462.0,3561907.755236703
367110.6167868914,463.0,3942615.06153422
394303.99580814264,464.0,4348816.16066416
418098.2024517375,465.0,4781785.742268144
447840.960756231,466.0,5245772.771818243
480133.0983439668,467.0,5740352.35276725
509026.0635540462,468.0,6264249.795473542
538768.8218585397,469.0,6818739.789578742
570211.1663518614,470.0,7403397.438535644
599104.1315619409,471.0,8018647.638891453
631396.2691496767,472.0,8664065.494098961
659439.441265342,473.0,9345174.659271862
702778.8890804611,474.0,10067498.789523847
741869.3714235098,475.0,10829338.298666088
781809.6468609725,476.0,11629843.39360417
819200.543015193,477.0,12474962.625998994
871037.9217744531,478.0,13371919.237153077
922875.3005337133,479.0,14323687.50289687
980661.2309538722,480.0,15328992.733588751
1029949.23042989,481.0,16381036.584473409
1074138.4713394232,482.0,17481518.64173967
1126825.6431930976,483.0,18631288.698481947
1172714.470291459,484.0,19834595.720172316
1233899.5730892743,485.0,21096963.361924462
1290835.7104150192,486.0,22412867.968624696
1340973.5029854511,487.0,23787408.298839506
1408107.157444165,488.0,25226108.007682577
1469292.2602419804,489.0,26734065.853720397
1546623.4318336635,490.0,28328277.69884125
1641800.2584080428,491.0,30018941.060178105
1739526.4642656643,492.0,31800532.282617267
1823655.9806126603,493.0,33662428.952478565
1900137.3591099293,494.0,35599107.4146483
1973219.5652295419,495.0,37599095.46235189
2026756.5301776303,496.0,39666642.0610614
2108336.667241384,497.0,41814494.10719304
2187367.425021895,498.0,44034153.669802666
2251951.700197367,499.0,46314148.542115696
2308038.044428698,500.0,48655753.41377375
2375171.6988874115,501.0,51070865.38809863
2455052.2497623367,502.0,53558209.7754487
2519636.5249378085,503.0,56106739.26559659
2577422.4553579674,504.0,58721977.51365598
2653054.0407608226,505.0,61416671.416043095
2736333.7640134045,506.0,64194220.14513558
2818763.694171572,507.0,67050374.73546138
2893545.486480013,508.0,69980461.3250012
2966627.692599626,509.0,72992128.05160476
3056705.7606075206,510.0,76090048.77729137
3139135.690765688,511.0,79263176.19183363
3207119.138318816,512.0,82510660.50213711
3287849.4822881557,513.0,85844398.81152363
3379627.1364848786,514.0,89269914.77510688
3471404.7906816015,515.0,92779985.15158433
3548735.962273285,516.0,96367811.59620066
3626916.926959382,517.0,100028720.2469366
3694900.37451251,518.0,103763136.00033937
3773931.1322930213,519.0,107577007.40806986
3853811.6831679465,520.0,111468209.98739204
3928593.4754763874,521.0,115435044.15211706
4005074.8539736564,522.0,119466462.59201755
4057762.0258273305,523.0,123564164.89328234
4137642.5767022558,524.0,127733249.81447792
4200527.265688899,525.0,131963094.94192411
4259162.989203472,526.0,136249451.31014884
4313549.747245974,527.0,140592318.91915208
4372185.470760547,528.0,145002320.18261406
4447817.056163401,529.0,149482004.479818
