Area (m²),Elevation (m),Volume (m³)
10132083.064699324,526.0,527292366.11847734
10229809.270556945,527.0,537581236.009096
10347930.510680506,528.0,547986952.4501967
10463502.371520823,529.0,558504416.6832129
10571426.094511414,530.0,569140427.0528997
10700594.644862358,531.0,579911979.4211457
10842510.091629513,532.0,590808451.3742704
10950433.814620104,533.0,601814546.6365746
11061756.70998835,534.0,612940887.6217384
11190925.260339294,535.0,624191723.295234
11310746.086651681,536.0,635558130.8295698
11422068.982019927,537.0,647037135.9489155
11535941.256671418,538.0,658638936.170404
11667659.186305603,539.0,670366930.666413
11788329.805712406,540.0,682219419.8507537
11916648.562968934,541.0,694191304.9648595
12027121.665242767,542.0,706274088.0777863
12138444.560611013,543.0,718474142.6377424
12261664.559301058,544.0,730793168.2309164
12376386.627046961,545.0,743229465.2711196
12496207.453359349,546.0,755783458.6548991
12611779.314199666,547.0,768450474.5202357
12722252.416473499,548.0,781240285.4877151
12857369.518485341,549.0,794162664.1779232
12987387.861930698,550.0,807210387.3495573
13108058.4813375,551.0,820388978.6577312
13249124.13501024,552.0,833700987.4817281
13374893.512983527,553.0,847138765.6836983
13500662.890956813,554.0,860705712.4360194
13633230.613685412,555.0,874406076.7041636
13767497.92260284,556.0,888235609.5226586
13891567.714387298,557.0,902189637.0294853
14016487.29926617,558.0,916267309.4315493
14138857.504861802,559.0,930468201.8323033
14262927.29664626,560.0,944807610.5074468
14415890.053640798,561.0,959292333.8017352
14553556.534935882,562.0,973919397.4393378
14700570.740269521,563.0,988693900.1788214
14848434.738697575,564.0,1003601395.5375808
14966555.978821136,565.0,1018637209.6535968
15105072.253210634,566.0,1033809415.5612661
15239339.562128061,567.0,1049128210.7777219
15398250.870783499,568.0,1064589771.2340392
15524870.0418512,569.0,1080186448.7923684
15668485.074807184,570.0,1095913569.5906901
15785756.52183633,571.0,1111769434.0428157
15925972.382414656,572.0,1127773587.3899164
16082334.31178685,573.0,1143933677.7698421
16237846.44806463,574.0,1160242481.9412904
16379761.894831786,575.0,1176689802.387128
16514878.996843629,576.0,1193269690.5556943
16644897.340288986,577.0,1209985545.619367
16786812.78705614,578.0,1226842041.440165
16926178.854540054,579.0,1243848525.7421272
17086789.749384318,580.0,1261016470.732028
17249100.23041741,581.0,1278353524.5477173
17425007.40096113,582.0,1295867760.223592
17603463.950788092,583.0,1313539632.5184805
17740280.638988763,584.0,1331349596.1912112
17879646.706472676,585.0,1349301900.2072563
18024961.32561749,586.0,1367396544.5666158
18164327.3931014,587.0,1385629280.3038175
18301144.081302073,588.0,1404003931.4877863
18448158.28663571,589.0,1422519648.325428
18583275.388647553,590.0,1441176430.8167424
18730289.59398119,591.0,1459978952.8237488
18874754.42003159,592.0,1478919991.1051447
19007322.142760187,593.0,1497992747.3161747
19138190.27929996,594.0,1517207418.973972
19291153.036294498,595.0,1536571229.319839
19436467.65543931,596.0,1556082903.664134
19586881.033150606,597.0,1575740742.4206681
19728796.47991776,598.0,1595540921.5205166
19871561.71977933,599.0,1615486840.1360571
20020275.5113018,600.0,1635591670.0602531
20189384.337090205,601.0,1655859235.3620296
20345746.2664624,602.0,1676278063.8346117
20491910.678701624,603.0,1696840932.236697
20633826.12546878,604.0,1717556338.4992294
20796986.399596285,605.0,1738445102.5530224
20980541.70798973,606.0,1759511048.4670007
21151350.119966965,607.0,1780746103.2067676
21318759.359566543,608.0,1802148992.0826812
21487018.392260537,609.0,1823727788.1291385
21670573.70065398,610.0,1845487590.1047058
21849030.250480942,611.0,1867421599.6646283
22018988.869363762,612.0,1889531091.498547
22199994.798473965,613.0,1911820314.5719345
22378451.348300926,614.0,1934292668.0571682
22566255.622166444,615.0,1956955375.1955507
22759158.654598445,616.0,1979814809.43529
22959709.82488017,617.0,2002880318.5004249
23171308.30538928,618.0,2026136606.1152556
23341266.9242721,619.0,2049567951.1075356
23521423.06028789,620.0,2073179452.2358315
23701579.196303677,621.0,2096954538.534802
23848593.401637316,622.0,2120893634.9009943
24029599.33074752,623.0,2145003964.5757113
24191060.018686198,624.0,2169293600.5933495
24388212.016590267,625.0,2193786762.0571
24598110.91091055,626.0,2218471976.7601876
24772318.495265443,627.0,2243344995.737141
24973719.458641585,628.0,2268414316.9189043
25164922.90488476,629.0,2293678240.7192883
