Area (m²),Elevation (m),Volume (m³)
849.7930944141006,575.396728515625,849.7930944141006
849.7930944141006,576.396728515625,2124.482736035251
1699.586188828201,577.396728515625,4248.965472070502
2549.3792832423014,578.396728515625,8073.034396933954
5098.758566484603,579.396728515625,13596.689510625607
5948.551660898704,580.396728515625,19970.137718731363
6798.344755312804,581.396728515625,28043.17211566532
9347.724038555105,582.396728515625,39515.37889025568
13596.689510625609,583.396728515625,54811.65458970949
16995.861888282012,584.396728515625,76906.2750444761
27193.379021251218,585.396728515625,104949.44716014143
28892.96521007942,586.396728515625,135541.99855904904
32292.137587735822,587.396728515625,169958.61888282013
36541.10305980632,588.396728515625,208624.2046786617
40790.06853187682,589.396728515625,253663.23868260905
49287.99947601783,590.396728515625,306775.3070834903
56936.137325744734,591.396728515625,365411.03059806325
60335.30970340114,592.396728515625,428720.61613191373
66283.86136429984,593.396728515625,497553.8567794559
71382.61993078444,594.396728515625,570636.0628990686
74781.79230844084,595.396728515625,648392.1310379588
80730.34396933955,596.396728515625,732096.7508377477
86678.89563023826,597.396728515625,822174.8188456424
93477.24038555106,598.396728515625,919901.024703264
101975.17132969206,599.396728515625,1023575.7822217842
105374.34370734847,600.396728515625,1131924.401759582
111322.89536824718,601.396728515625,1245796.6764110716
116421.65393473177,602.396728515625,1366892.1923650808
125769.37797328689,603.396728515625,1496485.639263231
133417.5158230138,604.396728515625,1635426.8101999364
144464.8260503971,605.396728515625,1783715.705175197
152112.963900124,606.396728515625,1937528.2552641493
155512.1362777804,607.396728515625,2095589.770825172
160610.894844265,608.396728515625,2260449.6311415075
169108.82578840601,609.396728515625,2432107.8362131556
174207.58435489063,610.396728515625,2611414.179134531
184405.10148785982,611.396728515625,2797943.763358426
188654.06695993032,612.396728515625,2990846.7957904264
197151.99790407132,613.396728515625,3192672.655713775
206499.72194262643,614.396728515625,3402146.653486851
212448.27360352513,615.396728515625,3618418.9960152395
220096.41145325205,616.396728515625,3844888.8556765974
232843.30786946355,617.396728515625,4088354.5772262374
254088.13522981605,618.396728515625,4348391.264116952
265985.23855161347,619.396728515625,4618200.571593429
273633.37640134036,620.396728515625,4898632.292750082
287230.06591196597,621.396728515625,5191810.9103229465
299127.16923376336,622.396728515625,5497736.4243120225
312723.85874438897,623.396728515625,5818108.420906139
328020.1344438428,624.396728515625,6155051.382841329
345865.7894265389,625.396728515625,6509839.999759216
363711.44440923503,626.396728515625,6878225.306187728
373059.16844779014,627.396728515625,7264456.267598937
399402.75437462726,628.396728515625,7672356.952917705
416398.61626290926,629.396728515625,8098528.189766377
435943.8574344336,630.396728515625,8544244.667786572
455489.09860595793,631.396728515625,9012905.559355948
481832.68453279504,632.396728515625,9507910.036852162
508176.27045963216,633.396728515625,10030107.893369626
536219.4425752974,634.396728515625,10579499.128908342
562563.0285021346,635.396728515625,11155233.950373895
588906.6144289718,636.396728515625,11756037.668124665
612700.8210725666,637.396728515625,12382335.178707857
639894.2000938178,638.396728515625,13034126.482123472
663688.4067374126,639.396728515625,13708862.199088268
685783.0271921791,640.396728515625,14411216.191621521
718924.9578743291,641.396728515625,15148836.59757296
756315.8540285495,642.396728515625,15920448.727300964
786908.4054274572,643.396728515625,16722228.511880668
816651.1637319507,644.396728515625,17556300.43404811
851492.6806029289,645.396728515625,18418415.528331213
872737.5079632814,646.396728515625,19308573.79472998
907579.0248342595,647.396728515625,20225925.440150004
927124.2660057838,648.396728515625,21169195.774949655
959416.4035935196,649.396728515625,22138384.799128935
978961.6447650439,650.396728515625,23132642.71959343
1009554.1961639515,651.396728515625,24155793.60526801
1036747.5751852028,652.396728515625,25207837.456152666
1067340.1265841103,653.396728515625,26288349.375700194
1093683.7125109474,654.396728515625,27393930.19153294
1117477.9191545423,655.396728515625,28524155.007103693
1142971.7119869653,656.396728515625,29682847.89133732
1174414.0564802869,657.396728515625,30872133.326969855
1204156.8147847804,658.396728515625,32091161.52090688
1233899.5730892739,659.396728515625,33339932.4731484
1263642.3313937674,660.396728515625,34613772.32167514
1284037.3656597058,661.396728515625,35912681.06648709
1313780.1239641993,662.396728515625,37238783.19032029
1338424.1237022083,663.396728515625,38589954.21043871
1363917.9165346313,664.396728515625,39967468.81648397
1391111.2955558824,665.396728515625,41372176.80155048
1418304.6745771335,666.396728515625,42801528.786354996
1440399.2950319,667.396728515625,44252975.39161428
1462493.9154866666,668.396728515625,45729490.89315878
1490537.087602332,669.396728515625,47233624.67027174
1517730.466623583,670.396728515625,48763677.136764325
1542374.466361592,671.396728515625,50323897.258108616
1578065.7763269842,672.396728515625,51915984.620493434
1606108.9484426496,673.396728515625,53538664.534277156
1639250.8791247995,674.396728515625,55191512.10291258
1666444.2581460506,675.396728515625,56874952.22294691
1700435.9819226146,676.396728515625,58588984.89438015
1727629.3609438657,677.396728515625,60327661.5655514
1749723.9813986323,678.396728515625,62090557.33991345
1776067.5673254693,679.396728515625,63877247.3209191
1797312.3946858218,680.396728515625,65686031.92237951
1820256.8082350024,681.396728515625,67523284.59250279
1854248.5320115665,682.396728515625,69394528.98640263
1888240.2557881305,683.396728515625,71299340.20753184
1921382.1864702804,684.396728515625,73233044.39387113
1946026.1862082893,685.396728515625,75192242.37304284
1972369.7721351264,686.396728515625,77175234.55885814
1993614.599495479,687.396728515625,79183720.53750587
2023357.3577999724,688.396728515625,81224073.75719412
2057349.0815765364,689.396728515625,83296719.11447011
2087941.632975444,690.396728515625,85391034.19565366
2100688.5293916557,691.396728515625,87507443.89729197
2132130.8738849773,692.396728515625,89652746.56414036
2158474.4598118146,693.396728515625,91826092.40310442
2188217.218116308,694.396728515625,94029605.89692019
2218809.769515216,695.396728515625,96263711.94213486
2249402.3209141237,696.396728515625,98525861.1594652
2274896.1137465467,697.396728515625,100814353.96272236
2302089.492767798,698.396728515625,103124941.3864343
2319085.35465608,699.396728515625,105454224.25822335
2339480.388922018,700.396728515625,107808151.12975042
2368373.354132097,701.396728515625,110187571.7941099
2390467.974586864,702.396728515625,112595885.42367946
2426159.284552256,703.396728515625,115034791.60464792
2451653.077384679,704.396728515625,117503440.54392087
2485644.801161243,705.396728515625,120001832.24149834
2511138.593993666,706.396728515625,122525717.73190822
2536632.386826089,707.396728515625,125076371.70479214
2564675.5589417545,708.396728515625,127659317.8152638
2601216.662001561,709.396728515625,130274556.06332318
2629259.8341172263,710.396728515625,132920386.86278148
2662401.764799376,711.396728515625,135601908.97220516
2700642.4540480105,712.396728515625,138325920.73634955
2747381.074240786,713.396728515625,141095821.3275923
2792420.1082447334,714.396728515625,143906936.88391414
2829811.0043989536,715.396728515625,146753318.85365418
2862952.9350811034,716.396728515625,149631992.96098194
2894395.279574425,717.396728515625,152546358.3782751
2934335.5550118876,718.396728515625,155501938.76064733
2976825.2097325926,719.396728515625,158501708.3839291
3022714.036830954,720.396728515625,161551615.79978132
3077100.794873456,721.396728515625,164648261.8358263
3116191.277216505,722.396728515625,167784848.14730874
3156981.3457483817,723.396728515625,170968173.07898396
3209668.517602056,724.396728515625,174199511.32049358
3253007.965417175,725.396728515625,177472489.4236295
3292948.2408546377,726.396728515625,180783708.21601403
3329489.343914444,727.396728515625,184135717.07693043
3374528.3779183915,728.396728515625,187525966.6270955
3405970.722411713,729.396728515625,190956156.452698
3454408.9287933167,730.396728515625,194429260.82956842
3491799.824947537,731.396728515625,197941030.7922347
3531740.1003849995,732.396728515625,201491041.44414958
3568281.203444806,733.396728515625,205073769.13019943
3597174.168654885,734.396728515625,208695587.29859233
3646462.168130903,735.396728515625,212365843.6733668
3694050.581418093,736.396728515625,216078164.80631483
3730591.684477899,737.396728515625,219834675.18017235
3782429.0632371595,738.396728515625,223638773.96731707
3825768.511052279,739.396728515625,227483662.82299367
3864009.2003009133,740.396728515625,231367642.1610133
3903949.475738376,741.396728515625,235294111.15375367
3948988.5097423233,742.396728515625,239263919.59430915
3990628.371368614,743.396728515625,243276642.58613253
4034817.612278147,744.396728515625,247333979.71541265
4079856.6462820945,745.396728515625,251439330.15452716
4130844.2319469405,746.396728515625,255589719.6276456
4169934.7142899893,747.396728515625,259786847.72095686
4224321.472332492,748.396728515625,264039637.26195222
4281257.609658237,749.396728515625,268342989.49206522
4325446.85056777,750.396728515625,272686706.8941629
4361987.953627576,751.396728515625,277072913.95098126
4410426.16000918,752.396728515625,281507134.31763405
4458014.57329637,753.396728515625,285988093.3044796
4503903.400394731,754.396728515625,290517065.6011596
4554041.192965163,755.396728515625,295095325.89731556
4602479.399346767,756.396728515625,299725423.5722308
4657715.9504836835,757.396728515625,304404809.2466221
4701055.398298803,758.396728515625,309127534.3688285
4744394.846113922,759.396728515625,313895723.421586
4791983.259401112,760.396728515625,318703852.74978095
4824275.396988847,761.396728515625,323559995.38781035
4888009.879069905,762.396728515625,328477323.12863755
4946645.6025844775,763.396728515625,333447762.9378656
4994234.015871667,764.396728515625,338467915.6431169
5046071.394630928,765.396728515625,343531832.6927305
5081762.70459632,766.396728515625,348637389.6039704
5129351.11788351,767.396728515625,353796483.4801584
5188836.634492497,768.396728515625,359013363.2867665
5244922.978723828,769.396728515625,364284629.8514172
5297610.150577502,770.396728515625,369614107.2430352
5361344.63265856,771.396728515625,375001795.46162057
5414031.804512234,772.396728515625,380437921.88658756
5458221.045421768,773.396728515625,385927160.3799555
5520255.941313997,774.396728515625,391472485.2175547
5570393.733884429,775.396728515625,397067947.8477243
5620531.52645486,776.396728515625,402714822.960106
5673218.698308535,777.396728515625,408416509.7270774
5730154.83563428,778.396728515625,414172158.35554415
5781142.421299126,779.396728515625,419982193.74205333
5838928.351719284,780.396728515625,425852139.5417187
5900963.247611513,781.396728515625,431780721.06489867
5956199.79874843,782.396728515625,437764114.24266833
6010586.556790932,783.396728515625,443803593.76466936
6068372.4872110905,784.396728515625,449899584.5274489
6123609.038348007,785.396728515625,456051661.6344598
6180545.175673752,786.396728515625,462262799.36153245
6241730.278471568,787.396728515625,468536396.88104457
6305464.760552625,788.396728515625,474874153.77918494
6370049.035728097,789.396728515625,481265872.5388206
6413388.483543216,790.396728515625,487710703.3668572
6476273.1725298595,791.396728515625,494216719.2976915
6535758.6891388465,792.396728515625,500783920.3313237
6598643.37812549,793.396728515625,507412306.46775365
6658128.894734477,794.396728515625,514104851.98281187
6726962.135382019,795.396728515625,520861131.97995114
6785597.858896592,796.396728515625,527679871.7695299
6851881.720260891,797.396728515625,534560221.5584536
6908817.857586636,798.396728515625,541496657.6916087
6964054.408723553,799.396728515625,548488755.272448
7020140.7529548835,800.396728515625,555539913.473349
7082175.648847112,801.396728515625,562649282.5012174
7136562.406889615,802.396728515625,569815587.6664115
7196047.923498602,803.396728515625,577034580.0034593
7241936.750596963,804.396728515625,584305409.7192664
7299722.681017121,805.396728515625,591634875.158588
7359208.197626108,806.396728515625,599022126.5283298
7415294.541857439,807.396728515625,606470563.0008694
7481578.4032217385,808.396728515625,613975510.7141875
7528317.023414514,809.396728515625,621529321.5304345
7579304.60907936,810.396728515625,629142192.9667432
7646438.263538074,811.396728515625,636820923.367869
7711022.538713546,812.396728515625,644559989.0786983
7767108.882944876,813.396728515625,652360664.7888725
7834242.53740359,814.396728515625,660228899.0500526
7902225.984956718,815.396728515625,668162992.2760499
7965960.467037776,816.396728515625,676165068.9496002
8038192.880062974,817.396728515625,684233004.5879676
8097678.396671961,818.396728515625,692354902.0878304
8146116.603053565,819.396728515625,700530761.4491885
8205602.119662552,820.396728515625,708768230.8098916
8269336.60174361,821.396728515625,717072833.8250533
8339869.42857998,822.396728515625,725439471.7361073
8393406.393528068,823.396728515625,733866444.9568648
8460540.047986783,824.396728515625,742362251.4182698
8531072.874823153,825.396728515625,750919667.8790197
8583760.046676828,826.396728515625,759534020.4770955
8644945.149474643,827.396728515625,768220180.5916492
8727375.079632811,828.396728515625,776985371.4639834
8803006.665035667,829.396728515625,785821520.0597012
8869290.526399966,830.396728515625,794723527.6202362
8934724.594669852,831.396728515625,803695218.2145131
9008656.59388388,832.396728515625,812730218.3943238
9061343.765737554,833.396728515625,821832777.1251404
9143773.695895722,834.396728515625,831016491.0964736
9223654.246770648,835.396728515625,840277961.1359457
9299285.832173504,836.396728515625,849606989.7264236
9358771.348782491,837.396728515625,859006126.2471908
9439501.69275183,838.396728515625,868475370.6982472
9498987.209360817,839.396728515625,878013448.3899511
9577168.174046915,840.396728515625,887625882.9774162
9647701.000883285,841.396728515625,897309700.1848121
