Day/ Year,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Unnamed: 48
1.0,61.79351276900022,59.36591048164664,56.827962635776984,44.579605640493014,47.338244603394806,70.62115745028596,57.9314182209377,68.85562851402881,60.910748300871646,75.03497979092884,58.92452824758235,59.917638274226995,48.552045747071595,56.49692596022877,50.31757468332875,65.7659528755788,62.78662279564487,61.462476093452004,40.38647441688229,41.71062111907514,50.53826580036089,49.65550133223232,69.51770186512525,52.96586808771447,49.54515577371624,52.63483141216626,37.40714433694834,38.400254363592985,48.77273686410375,47.22789904487873,43.696841172364444,64.00042393932166,60.57971162532343,53.95897811435912,54.62105146545555,60.138329391259134,52.63483141216626,38.841636597657285,47.448590161910886,73.82117864725205,85.84884452550386,53.95897811435912,55.61416149210019
2.0,61.79351276900022,58.15210933796985,55.83485260913234,44.579605640493014,46.34513457675016,70.62115745028596,56.93830819429306,68.85562851402881,60.910748300871646,75.03497979092884,62.89696835416093,59.917638274226995,48.552045747071595,57.04865375280913,49.43481021520017,64.77284284893416,63.77973282228951,60.910748300871646,40.38647441688229,40.82785665094657,51.42103026848947,48.77273686410375,68.30390072144846,51.86241250255375,48.77273686410375,52.63483141216626,35.641615400691194,37.40714433694834,47.669281278943025,46.45548013526624,42.152003353139435,62.56593167861272,60.35902050829129,53.6279414388109,54.29001478990734,60.35902050829129,54.179669231391266,38.510599922109066,52.96586808771447,72.27634082802705,85.84884452550386,85.84884452550386,56.17902566069438
3.0,61.79351276900022,58.15210933796985,55.83485260913234,44.579605640493014,46.34513457675016,70.62115745028596,56.93830819429306,68.85562851402881,60.910748300871646,73.93152420576811,59.917638274226995,59.917638274226995,49.43481021520017,55.614161492100195,48.552045747071595,63.77973282228951,63.77973282228951,60.910748300871646,40.38647441688229,40.82785665094657,50.53826580036089,48.44170018855553,67.09009957777165,50.758956917393036,48.00031795449124,51.86241250255375,36.4140343103037,36.4140343103037,47.669281278943025,45.68306122565373,42.152003353139435,65.87629843409488,59.696947157194856,54.4003603484234,54.8417425824877,58.37280045500199,53.517595880294834,38.06921768804477,49.32446465668411,71.06253968435026,84.19366114776278,84.19366114776278,55.706116124196924
4.0,61.79351276900022,77.68327319531457,54.8417425824877,43.696841172364444,46.34513457675016,70.62115745028596,56.93830819429306,67.86251848738416,60.910748300871646,72.8280686206074,56.93830819429306,58.92452824758235,48.552045747071595,54.73139702397162,48.552045747071595,62.78662279564487,63.77973282228951,60.57971162532343,39.393364390237636,39.945092182818,50.53826580036089,48.22100907152338,65.87629843409488,50.758956917393036,42.152003353139435,51.08999359294125,34.8691964910787,37.40714433694834,46.56582569378231,44.91064231604123,41.37958444352693,64.77284284893416,59.696947157194856,54.4003603484234,53.95897811435912,57.490035986873416,52.63483141216626,37.73818101249656,47.117553486362674,69.18666518957703,84.74538894034316,84.74538894034316,55.427624952703994
5.0,60.6900571838395,79.00741989750742,53.84863255584305,43.696841172364444,45.462370108621585,70.62115745028596,56.93830819429306,67.86251848738416,60.02798383274307,72.8280686206074,55.945198167648414,58.92452824758235,47.669281278943025,53.84863255584305,48.552045747071595,61.79351276900022,62.78662279564487,60.02798383274307,39.393364390237636,39.945092182818,50.53826580036089,47.338244603394806,65.87629843409488,49.65550133223232,40.82785665094657,51.08999359294125,34.09677758146619,36.4140343103037,46.56582569378231,44.91064231604123,41.37958444352693,65.54526175854666,59.696947157194856,53.95897811435912,53.07621364623054,56.60727151874484,52.63483141216626,38.28990880507693,45.35202455010552,67.7521729288681,84.19366114776278,84.19366114776278,54.99675181945074
6.0,60.6900571838395,63.117659471193086,53.84863255584305,42.81407670423586,45.462370108621585,68.41424627996453,56.93830819429306,66.86940846073952,60.02798383274307,72.8280686206074,54.95208814100376,57.9314182209377,48.552045747071595,52.63483141216626,47.669281278943025,60.02798383274307,63.77973282228951,60.02798383274307,40.38647441688229,39.06232771468942,52.30379473661804,47.00720792784659,65.87629843409488,49.65550133223232,39.50370994875371,50.31757468332875,33.32435867185369,36.4140343103037,45.462370108621585,46.45548013526624,40.607165533914426,64.77284284893416,59.696947157194856,53.6279414388109,52.193449178101964,56.276234843196626,51.972758061069825,37.73818101249656,44.68995119900909,67.7521729288681,83.53158779666636,83.53158779666636,54.255860212271415
7.0,59.58660159867878,61.79351276900022,53.84863255584305,42.81407670423586,44.579605640493014,68.41424627996453,55.945198167648414,66.86940846073952,60.02798383274307,72.8280686206074,53.95897811435912,56.93830819429306,47.669281278943025,52.96586808771447,47.669281278943025,59.14521936461449,62.78662279564487,60.35902050829129,38.400254363592985,37.29679877843227,51.42103026848947,45.241678991589446,64.66249729041809,49.65550133223232,38.841636597657285,50.31757468332875,32.55193976224118,36.4140343103037,48.77273686410375,45.68306122565373,40.607165533914426,63.669387263773444,59.14521936461449,53.95897811435912,51.641721385521606,55.72450705061627,51.20033915145732,37.29679877843227,45.0209878745573,66.9797540192556,82.979860004086,82.979860004086,53.77769612536841
8.0,59.58660159867878,60.57971162532343,53.84863255584305,42.81407670423586,43.696841172364444,66.2073351096431,54.95208814100376,65.87629843409488,60.02798383274307,71.72461303544668,52.96586808771447,55.945198167648414,47.669281278943025,52.63483141216626,46.786516810814454,59.14521936461449,61.79351276900022,59.696947157194856,38.400254363592985,36.4140343103037,49.65550133223232,45.57271566713766,63.4486961467413,49.65550133223232,46.45548013526624,50.31757468332875,33.32435867185369,36.4140343103037,49.876192449264465,44.91064231604123,40.607165533914426,63.669387263773444,58.81418268906627,52.63483141216626,51.08999359294125,55.72450705061627,49.98653800778053,36.74507098585191,42.37269447017158,65.43491620003059,82.42813221150566,82.42813221150566,53.38885939535941
9.0,59.58660159867878,58.15210933796985,53.84863255584305,41.93131223610729,42.81407670423586,66.2073351096431,54.95208814100376,65.87629843409488,59.14521936461449,70.73150300880202,52.96586808771447,56.93830819429306,47.669281278943025,52.52448585365019,45.90375234268588,59.14521936461449,60.910748300871646,59.696947157194856,37.40714433694834,36.4140343103037,50.53826580036089,44.91064231604123,63.4486961467413,47.448590161910886,51.08999359294125,50.31757468332875,33.32435867185369,36.4140343103037,46.56582569378231,44.91064231604123,42.152003353139435,62.56593167861272,58.26245489648591,50.31757468332875,50.758956917393036,54.8417425824877,50.31757468332875,36.96576210288406,43.365804496816224,65.43491620003059,80.77294883376457,80.77294883376457,53.055195444608444
10.0,58.48314601351806,59.36591048164664,52.8555225291984,41.04854776797872,41.93131223610729,66.2073351096431,52.96586808771447,65.87629843409488,58.26245489648591,71.72461303544668,52.193449178101964,55.945198167648414,47.669281278943025,52.96586808771447,45.90375234268588,58.26245489648591,60.910748300871646,59.14521936461449,37.40714433694834,35.75196095920727,49.65550133223232,44.027877847912656,62.2348950030645,47.448590161910886,41.489930002043,49.54515577371624,33.32435867185369,35.641615400691194,46.56582569378231,44.91064231604123,41.37958444352693,61.02109385938771,57.71072710390556,49.54515577371624,50.20722912481268,53.95897811435912,48.00031795449124,36.303688751787625,44.027877847912656,64.77284284893416,80.77294883376457,80.77294883376457,52.33794931425396
