Area (m²),Elevation (m),Volume (m³)
5098.758566484603,416.5,11047.310227383306
16995.86188828201,417.5,33566.82722935697
28043.172115665315,418.5,71382.61993078445
47588.41328718963,419.5,130443.23999256443
70532.82683637034,420.5,212873.17015073216
94327.03347996515,421.5,327595.2378966357
135117.10201184195,422.5,479708.2017967597
169108.825788406,423.5,668787.165303897
209049.1012258687,424.5,892707.6456820124
238791.85953036224,425.5,1156993.2980447977
289779.4451952083,426.5,1461219.2258450459
318672.41040528775,427.5,1806660.1187243778
372209.3753533761,428.5,2202663.7007213486
419797.7886405657,429.5,2646255.6960055092
467386.2019277553,430.5,3136161.414935238
512425.23593170266,431.5,3673655.547152157
562563.0285021346,432.5,4263836.85122275
617799.5796390511,433.5,4907980.016788638
670486.7514927253,434.5,5600561.388736131
714675.9924022586,435.5,6345829.932537297
775861.0952000738,436.5,7140386.47581448
813251.9913542942,437.5,7966810.260132194
839595.5772811314,438.5,8822976.8027544
872737.5079632814,439.5,9718233.827719655
917776.5419672286,440.5,10657680.093594443
961115.9897823478,441.5,11640040.910737144
1003605.6445030528,442.5,12664041.589506134
1044395.7130349296,443.5,13730107.026448624
1087735.1608500488,444.5,14836537.635375783
1125126.0570042692,445.5,15979084.450815542
1159967.5738752473,446.5,17167944.98990087
1217753.5042954062,447.5,18404818.83882059
1255994.1935440407,448.5,19673559.928780843
1281487.9863764637,449.5,20973318.46668721
1318029.08943627,450.5,22307918.521464556
1351171.02011842,451.5,23677784.989660088
1388561.9162726405,452.5,25088866.422934704
1433600.9502765879,453.5,26544986.890213266
1478639.9842805353,454.5,28051670.046609465
1534726.3285118658,455.5,29608915.892123304
1579765.3625158132,456.5,31217999.116396405
1638401.0860303862,457.5,32884443.374542456
1694487.4302617167,458.5,34604424.597636595
1745475.0159265627,459.5,36376243.199489996
1798162.187780237,460.5,38201598.766291484
1852548.9458227395,461.5,40084315.36696593
1912884.2555261406,462.5,42023118.3118717
1964721.6342854006,463.5,44019282.29065042
2027606.323272044,464.5,46074506.889490925
2082842.8744089606,465.5,48182843.55673231
2133830.460073807,466.5,50346841.671657816
2194165.769777208,467.5,52573724.47556996
2259599.8380470937,468.5,54859243.00299669
2311437.216806354,469.5,57199998.08156033
2370072.9403209267,470.5,59600238.67673296
2430408.250024328,471.5,62056565.616136916
2482245.6287835883,472.5,64568978.899772204
2542580.9384869896,473.5,67146401.35513017
2612263.9722289457,474.5,69794781.53387171
2684496.385254144,475.5,72513269.64290242
2752479.832807272,476.5,75299741.19948626
2820463.2803604,477.5,78158445.1690953
2896944.658857669,478.5,81096179.89648484
2978524.795921423,479.5,84111670.69201328
3052456.7951354496,480.5,87203217.96949178
3130637.7598215467,481.5,90368272.34963709
3199471.000469089,482.5,93612357.48756292
3288699.2753825695,483.5,96933348.90053323
3353283.5505580413,484.5,100330396.7954536
3440812.2392826937,485.5,103806900.34470168
3512194.859213478,486.5,107361584.85863586
3597174.168654888,487.5,111004647.8543891
3688951.822851611,488.5,114740763.1939807
3783278.856331576,489.5,118575879.42907153
3886953.6138500962,490.5,122527417.3180971
4016122.1642010394,491.5,126603024.99890712
4135093.1974190134,492.5,130797603.71293512
4254064.230636988,493.5,135105629.8050674
4361987.953627579,494.5,139509257.62032127
4445267.67688016,495.5,144001263.91739422
4538744.917265711,496.5,148596944.97198567
4652617.191917201,497.5,153295450.99100122
4744394.846113923,498.5,158085734.6642135
4836172.500310645,499.5,162961422.5434144
4915203.258091156,500.5,167931012.55954808
5023976.774176161,501.5,172998328.78153935
5110655.669806399,502.5,178155723.07153854
5204132.91019195,503.5,183409568.8777537
5303558.7022384005,504.5,188772188.20005387
5421679.94236196,505.5,194251654.07283598
5537251.803202278,506.5,199845417.1168168
5650274.284759353,507.5,205553477.3319963
5765846.145599671,508.5,211373710.23563847
5874619.661684675,509.5,217306115.8277433
5990191.522524993,510.5,223350694.1083108
6098965.038609997,511.5,229496397.76711357
6192442.278995548,512.5,235748750.45926532
6312263.105307937,513.5,242126022.73629594
6442281.448753294,514.5,248628639.49475265
6562952.068160096,515.5,255241729.35548317
6663227.65330096,516.5,261960618.45646825
6774550.548669207,517.5,268782757.41842467
6869727.3752435865,518.5,275708996.0344468
6982749.856800661,519.5,282747832.23547876
7094922.545263323,520.5,289894167.2629541
7197747.509687429,521.5,297142052.56521195
7298023.094828293,522.5,304490213.4526107
7398298.679969156,523.5,311939924.61479187
7501123.644393262,524.5,319487361.9828307
7593751.091684399,525.5,327122328.0395942
7676181.021842567,526.5,334849921.5436488
7779005.986266674,527.5,342677790.63284427
7876732.192124295,528.5,350604660.617539
7977007.7772651585,529.5,358630106.60118574
8073884.190028366,530.5,366764750.9974647
8195404.602529582,531.5,375016241.9442256
8307577.290992243,532.5,383369283.165769
8398505.152094552,533.5,391818775.9035284
8500480.323424244,534.5,400377891.9504672
8617751.77045339,535.5,409044931.72039664
8716327.769405425,536.5,417803749.1445228
8801307.078846835,537.5,426667516.01580906
8926226.663725708,538.5,435647704.54103005
9034150.386716299,539.5,444735391.8926944
9141224.316612475,540.5,453931852.7604438
9251697.418886308,541.5,463234962.6615422
9354522.383310413,542.5,472641747.3201591
9459046.933923347,543.5,482150507.15010566
9558472.725969797,544.5,491759117.66864586
9658748.31111066,545.5,501466304.18613815
9755624.723873869,546.5,511268667.5302048
9849101.96425942,547.5,521175130.5283371
9963824.032005323,548.5,531195890.6976682
10077696.306656813,549.5,541327123.9692731
10184770.23655299,550.5,551572654.4120767
10306290.649054205,551.5,561932906.9226263
10414214.372044796,552.5,572400658.2596191
10521288.301940972,553.5,582981007.1816219
10639409.542064533,554.5,593679052.447201
10756680.989093678,555.5,604493519.3667148
10872252.849933995,556.5,615418884.2850497
10978476.986735757,557.5,626449623.547092
11083001.537348691,558.5,637591685.7045025
11201122.777472252,559.5,648852293.9985837
11320093.810690226,560.5,660239521.4637326
11454361.119607653,561.5,671758891.7550629
11584379.46305301,562.5,683408280.3898386
11714397.806498367,563.5,695183438.4025875
11835918.218999583,564.5,707071194.0003464
11939592.976518104,565.5,719068572.9072847
12055164.83735842,566.5,731185772.6405354
12179234.629142879,567.5,743435115.1999674
12319450.489721205,568.5,755808952.4477311
12428224.00580621,569.5,768297086.8666935
12548044.832118597,570.5,780905467.0085155
12668715.4515254,571.5,793640041.424858
12800433.381159585,572.5,806501659.9088154
12922803.586755216,573.5,819499670.1844263
13073216.964466512,574.5,832635346.9413322
13198136.549345385,575.5,845891269.4210978
13313708.410185702,576.5,859264888.2444396
13433529.23649809,577.5,872760027.4802827
13556749.235188134,578.5,886388159.3354015
13699514.475049702,579.5,900155232.3614571
13834631.577061545,580.5,914063371.0411855
13981645.782395184,581.5,928121923.0986252
14135458.332484135,582.5,942331738.3268706
14284172.124006603,583.5,956672846.588203
14398044.398658093,584.5,971142698.503339
14541659.431614077,585.5,985747667.520487
14668278.602681778,586.5,1000479255.7087026
14794897.77374948,587.5,1015333214.1025138
14913019.01387304,588.5,1030315066.3570343
15050685.495168125,589.5,1045426512.0584531
15172205.907669341,590.5,1060662877.3447506
15300524.66492587,591.5,1076018213.664266
15410147.97410529,592.5,1091482323.4998667
15518071.69709588,593.5,1107070078.2307045
15657437.764579793,594.5,1122789975.7877238
15782357.349458667,595.5,1138644140.6536605
15925972.38241465,596.5,1154632147.9319675
16050042.174199108,597.5,1170746349.4847949
16178360.931455636,598.5,1186987595.1052372
16304130.309428923,599.5,1203360558.6553137
16441796.790724007,600.5,1219875012.7556102
16587111.409868818,601.5,1236526283.5441072
16715430.167125346,602.5,1253312246.538069
16856495.820798088,603.5,1270235451.1167786
16989913.336621102,604.5,1287302270.728444
17143725.886710055,605.5,1304525027.3729346
17301787.402271077,606.5,1321904995.7398918
17458149.331643272,607.5,1339441750.9327683
17615361.054109883,608.5,1357130194.192998
17761525.466349106,609.5,1374974999.3825996
17928084.91285427,610.5,1392983814.6394231
18089545.60079295,611.5,1411150691.4118078
18244207.943976313,612.5,1429477754.1824894
18409917.597387064,613.5,1447976475.1582427
18587524.35411961,614.5,1466640905.7874067
18741336.904208563,615.5,1485480393.7940202
18937639.10901822,616.5,1504499613.0401022
19100799.383145727,617.5,1523694314.5601807
19288603.657011244,618.5,1543063648.5611613
19450064.344949923,619.5,1562584670.6294947
19591979.79171708,620.5,1582247183.248048
19733045.44538982,621.5,1602059259.4512184
19891106.96095084,622.5,1622022598.8251944
20035571.787001237,623.5,1642141450.3354483
20202131.2335064,624.5,1662438333.498982
20391635.093560744,625.5,1682904750.3848512
20541198.678177625,626.5,1703526254.510451
20701809.57302189,627.5,1724318991.9445753
20883665.295226507,628.5,1745290185.9285264
21058722.67267581,629.5,1766442385.8415878
21245677.153446913,630.5,1787773467.2010233
21416485.565424148,631.5,1809275356.9724362
21587293.977401383,632.5,1830953578.8109398
21769149.699606,633.5,1852799209.889043
21922112.45660054,634.5,1874811400.4136515
22102268.592616327,635.5,1897007146.2466533
22289223.07338743,636.5,1919375824.9743686
22448134.382042866,637.5,1941914462.3209665
22629140.31115307,638.5,1964630281.5277498
22802498.102413546,639.5,1987512235.284491
22961409.411068983,640.5,2010563722.763568
23141565.54708477,641.5,2033806838.5854352
23344666.09664974,642.5,2057244557.0259233
23530770.784326427,643.5,2080865830.7748048
23711776.71343663,644.5,2104671934.5217214
23900430.78039656,645.5,2128655645.0253706
24066990.22690172,646.5,2152823335.73396
24268391.190277863,647.5,2177186053.957718
24457045.257237792,648.5,2201742100.110455
24655047.048236277,649.5,2226474478.330283
24809709.39141964,650.5,2251383613.513749
25008560.97551254,651.5,2276493299.867497
25210811.7319831,652.5,2301798013.736413
