Area (m²),Elevation (m),Volume (m³)
7648.137849726905,467.5,10622.413680176258
13596.689510625609,468.5,28468.06866287237
22094.620454766613,469.5,54811.65458970949
30592.55139890762,470.5,89653.17146068762
39090.48234304863,471.5,133842.41237022085
49287.99947601784,472.5,187379.37731830918
57785.930420158846,473.5,251538.7559465738
70532.82683637035,474.5,327170.34134942875
80730.34396933956,475.5,415548.8231684952
96026.61966879337,476.5,516249.30485656613
105374.34370734848,477.5,627572.2002248133
117271.44702914589,478.5,753766.4747453072
135117.102011842,479.5,896531.7146068761
150413.37771129582,480.5,1058842.1956399693
174207.58435489063,481.5,1243247.2971278292
194602.61862082905,482.5,1450171.9156176627
219246.61835883796,483.5,1679616.05110947
239641.65262477638,484.5,1934129.082886493
269384.4109292699,485.5,2213286.114401525
288929.65210079425,486.5,2514537.7663713237
313573.65183880314,487.5,2843832.5904567875
345015.99633212487,488.5,3204994.65558278
377308.1339198607,489.5,3606096.9961462356
424896.5472070503,490.5,4060736.3016577796
484382.0638160374,491.5,4579110.089250381
552365.5113691654,492.5,5159518.772735212
608451.855600496,493.5,5785816.283318404
644143.1655658883,494.5,6445255.724583746
674735.716964796,495.5,7139961.579267273
714675.9924022587,496.5,7875032.605935469
755466.0609341355,497.5,8653018.183871578
800505.0949380827,498.5,9473068.519981185
839595.5772811314,499.5,10329659.959150597
873587.3010576954,500.5,11220243.122096576
907579.0248342594,501.5,12140569.043347046
933072.8176666824,502.5,13085963.860882733
957716.8174046914,503.5,14058976.953986878
988309.368803599,504.5,15074054.805264521
1041846.3337516873,505.5,16135021.483640525
1080087.0230003218,506.5,17236778.230548408
1123426.4708154409,507.5,18379749.942535374
1162516.9531584894,508.5,19566061.102337457
1210105.366445679,509.5,20794437.02031304
1246646.4695054854,510.5,22060628.73099005
1285736.951848534,511.5,23358262.78616038
1309531.1584921288,512.5,24684789.80654079
1343522.8822686928,513.5,26054231.378189113
1395360.261027953,514.5,27467437.29419976
1431051.5709933452,515.5,28916334.520175803
1466742.8809587373,516.5,30402197.745758858
1504983.5702073718,517.5,31922052.695118476
1534726.3285118653,518.5,33473774.88551862
1568718.0522884293,519.5,35065012.454809025
1613757.0862923767,520.5,36694915.60989527
1646049.2238801126,521.5,38355411.31638042
1674942.189090192,522.5,40046924.47081169
1708084.119772342,523.5,41771154.659377895
1740376.257360078,524.5,43531925.95100391
1781166.3258919548,525.5,45327113.8629537
1809209.4980076202,526.5,47153319.2228496
1843201.2217841842,527.5,49010542.030691616
1871244.3938998496,528.5,50902181.4588574
1912034.4624317265,529.5,52831211.78317741
1946026.1862082905,530.5,54798907.693293266
1989365.6340234096,531.5,56812492.43050748
2037803.8404050134,532.5,58864742.75351753
2066696.8056150929,533.5,60949710.11066253
2103237.908674899,534.5,63071643.467414536
2140628.8048291192,535.5,65231392.616867974
2178869.4940777537,536.5,67428107.76592842
2214560.804043146,537.5,69666462.77661516
2262149.2173303356,538.5,71949431.92475864
2303789.0789566264,539.5,74272341.34833959
2342029.768205261,540.5,76633491.46116917
2380270.4574538954,541.5,79032882.26324739
2418511.14670253,542.5,81473912.92695189
2463550.1807064773,543.5,83961257.31430195
2511138.593993667,544.5,86488117.08054228
2542580.9384869887,545.5,89051517.94984241
2584220.8001132794,546.5,91654434.1980328
2621611.6962674996,547.5,94298565.41130227
2666650.730271447,548.5,96989860.14131172
2715938.729747465,549.5,99727468.59496674
2759278.177562584,550.5,102516064.63428661
2817913.901077157,551.5,105357772.74200736
2865502.3143643467,552.5,108248343.95265692
2915640.1069347784,553.5,111190752.54206574
2969177.071882867,554.5,114187122.99296986
3023563.829925369,555.5,117237455.30536927
3077100.7948734574,556.5,120336225.8241503
3120440.2426885767,557.5,123480035.37693526
3167178.862881352,558.5,126674407.61883786
3221565.6209238544,559.5,129926565.79116063
3282750.7237216695,560.5,133241608.65247004
3347334.9988971413,561.5,136615712.13384122
3400871.9638452297,562.5,140046326.85599095
3460357.4804542167,563.5,143538551.57748568
3524091.962535274,564.5,147088137.33285338
3575079.54820012,565.5,150693809.4324524
3636264.6509979353,566.5,154362366.22103807
3700848.926173407,567.5,158099756.2502713
3773931.13229302,568.5,161900030.96849114
3826618.304146694,569.5,165757241.82403675
3887803.406944509,570.5,169680311.64439943
3958336.2337808795,571.5,173668815.533032
4018671.543484281,572.5,177719354.3175568
4082406.0255653383,573.5,181839151.23927635
4157187.817873779,574.5,186031605.4705683
4227720.64471015,575.5,190286519.4942997
4282107.402752652,576.5,194599219.44845128
4343292.505550467,577.5,198975228.98813668
4408726.5738203535,578.5,203421771.35465845
4484358.159223208,579.5,207940121.23765823
4552341.606776336,580.5,212529853.74058878
4627123.399084777,581.5,217193943.1392806
4701055.398298804,582.5,221932814.3302808
4776686.983701658,583.5,226736694.6930037
4831073.741744161,584.5,231602185.05507165
4899906.982391703,585.5,236533959.2785039
4963641.46447276,586.5,241527343.50128114
5023126.981081747,587.5,246578513.65447855
5079213.325313078,588.5,251685770.1519073
5135299.669544409,589.5,256849962.78666177
5193085.599964567,590.5,262071516.4552892
5250021.737290313,591.5,267348731.57160076
5304408.495332815,592.5,272682033.03214365
5362194.425752973,593.5,278074395.1127483
5422529.7354563745,594.5,283521993.7444899
5472667.528026806,595.5,289028228.09974605
5539801.18248552,596.5,294600746.3163665
5605235.250755406,597.5,300238698.60125685
5670669.319025292,598.5,305939535.57513386
5731004.628728693,599.5,311705806.6172807
5801537.455565063,600.5,317537511.7276975
5861872.765268465,601.5,323429552.1478177
5922208.074971866,602.5,329392975.1878686
6004638.005130034,603.5,335433729.3995112
6076870.418155232,604.5,341553514.3689344
6162699.520691057,605.5,347759128.44089335
6248528.623226881,606.5,354045897.75336885
6325010.00172415,607.5,360417221.47873855
6417637.449015287,608.5,366878623.2721162
6505166.137739939,609.5,373428828.44386005
6595244.2057478335,610.5,380068686.7870646
6684472.480661314,611.5,386795224.0258994
6768601.99700831,612.5,393603341.40179795
6847632.754788821,613.5,400501536.84570444
6948758.133024098,614.5,407491934.8403548
7032037.85627668,615.5,414577084.76503235
7138261.993078442,616.5,421757411.5162843
7222391.509425438,617.5,429033339.9906578
7329465.439321615,618.5,436407419.56743616
7418693.714235095,619.5,443857555.62616456
7481578.4032217385,620.5,451375250.2358989
7553810.816246937,621.5,458972400.49996096
7640489.711877176,622.5,466655379.86655885
7725469.021318586,623.5,474430136.8873535
7824045.020270621,624.5,482311118.0449498
7937917.294922111,625.5,490288550.7187622
8016948.052702622,626.5,498351812.4951104
8109575.499993758,627.5,506507276.8222025
8201353.154190481,628.5,514751969.4242081
8288032.049820719,629.5,523089714.37005204
8387457.841867169,630.5,531526460.2113952
8486033.840819204,631.5,540064756.3275208
8590558.391432138,632.5,548705877.4080706
8691683.769667417,633.5,557449398.5564972
8795358.527185937,634.5,566298294.0486312
8902432.457082113,635.5,575255538.160303
9012055.766261533,636.5,584317306.8225877
9111481.558307983,637.5,593479775.9665606
9213456.729637675,638.5,602739971.3163911
9306933.970023226,639.5,612093219.01006
9399561.417314364,640.5,621545042.7026808
9504085.967927298,641.5,631107764.3941227
9621357.414956443,642.5,640782658.7740272
9728431.344852619,643.5,650562927.4976391
9832106.10237114,644.5,660443471.8063918
9928982.515134348,645.5,670420467.6313605
10025009.13480314,646.5,680510910.8344336
10155877.271342913,647.5,690725423.829291
10273148.718372058,648.5,701051684.616064
10379372.85517382,649.5,711474821.8156002
10466901.543898473,650.5,721989736.669333
10562928.163567265,651.5,732610875.6598676
10679349.817501998,652.5,743339513.4768456
10777925.816454032,653.5,754168001.9824173
10879051.194689311,654.5,765102289.7282436
10989524.296963144,655.5,776146200.7832493
11098297.813048149,656.5,787303984.1129063
11217268.846266123,657.5,798581163.3723286
11337089.67257851,658.5,809976888.7684218
11454361.119607655,659.5,821487761.128808
11567383.60116473,660.5,833108681.6949209
11674457.531060906,661.5,844838800.6736659
11785780.426429152,662.5,856677268.2719487
11891154.770136502,663.5,868615586.5588251
11985481.803616466,664.5,880658004.4997673
12099354.078267956,665.5,892816419.198097
12217475.318391517,666.5,905095929.4123807
12341545.110175975,667.5,917491861.2805991
12450318.62626098,668.5,929999116.0441859
12564190.90091247,669.5,942625766.7375377
12689110.485791342,670.5,955365015.0158995
12789386.070932206,671.5,968225783.7067626
12932151.310793774,672.5,981209772.3963156
13035826.068312295,673.5,994310607.6363505
13165844.411757652,674.5,1007540611.4267365
13294163.16901418,675.5,1020904032.7329454
13432679.443403678,676.5,1034397897.2791469
13555049.64899931,677.5,1048010732.8585664
13670621.509839626,678.5,1061736166.0229957
13780244.819019046,679.5,1075584394.289568
13916211.714125302,680.5,1089555842.55483
14026684.816399135,681.5,1103645836.956763
14153303.987466836,682.5,1117862875.426311
14280772.951628951,683.5,1132205683.273832
14404842.74341341,684.5,1146670011.5338545
14523813.776631383,685.5,1161249911.6547172
14635986.465094045,686.5,1175958130.5328364
14780451.291144442,687.5,1190801466.5129676
14906220.669117728,688.5,1205782468.9743938
15055784.25373461,689.5,1220894339.5723598
15167956.94219727,690.5,1236103511.4796362
15250386.872355439,691.5,1251410834.4893174
15364259.147006929,692.5,1266836703.6356695
15487479.145696973,693.5,1282386217.6772587
15611548.937481431,694.5,1298055552.5451603
15727120.798321748,695.5,1313830686.6533165
15823147.417990541,696.5,1329715444.070652
15946367.416680586,697.5,1345719597.4177527
16061939.277520902,698.5,1361831249.591297
16161365.069567353,699.5,1378047001.4189067
16270138.585652357,700.5,1394385973.2452066
16407805.066947442,701.5,1410843066.31163
16506381.065899476,702.5,1427404683.9286664
16616854.16817331,703.5,1444076774.6479766
16727327.270447142,704.5,1460866986.6074104
16853096.64842043,705.5,1477770645.9449484
16954222.026655708,706.5,1494780954.3158355
17066394.715118367,707.5,1511908534.1337516
17188764.920714,708.5,1529163582.91583
17321332.643442597,709.5,1546544401.0758815
17440303.67666057,710.5,1564047164.5449815
17565223.261539444,711.5,1581687169.5988293
17714786.846156325,712.5,1599477163.1338413
17865200.22386762,713.5,1617411196.5983565
18002866.705162704,714.5,1635480347.1648834
18135434.427891303,715.5,1653684189.936875
18272251.116091974,716.5,1672023149.8108785
18405668.63191499,717.5,1690486179.4766665
18520390.699660894,718.5,1709075403.4169748
18658057.180955976,719.5,1727805693.010956
18802522.007006373,720.5,1746679172.741346
18944437.45377353,721.5,1765684795.2979171
19066807.65936916,722.5,1784816612.129009
19196826.002814516,723.5,1804086095.441396
19342140.62195933,724.5,1823490695.8557947
19467060.2068382,725.5,1843025314.6136389
19602177.308850043,726.5,1862706947.5768166
19761088.61750548,727.5,1882543242.8831778
19911501.995216776,728.5,1902523153.2224948
20048318.683417447,729.5,1922639030.4569182
20183435.785429288,730.5,1942890449.6899006
20319402.680535544,731.5,1963272312.1628757
20444322.265414417,732.5,1983779944.013824
20570941.436482117,733.5,2004413770.1392927
20696710.814455405,734.5,2025181013.7805846
20837776.468128145,735.5,2046094846.7306628
20989889.432028268,736.5,2067152294.713697
21125006.53404011,737.5,2088357606.6951592
21285617.428884372,738.5,2109723529.5714657
21446228.323728636,739.5,2131240715.618578
21588143.77049579,740.5,2152905340.767571
21741106.52749033,741.5,2174727177.6390305
21902567.215429008,742.5,2196698153.1985598
22039383.90362968,743.5,2218809769.5152144
22183848.729680076,744.5,2241062026.588995
22320665.417880747,745.5,2263462572.5577507
22480426.5196306,746.5,2286004609.0767264
22603646.518320646,747.5,2308692385.111394
22771905.55101464,748.5,2331548845.0753026
22941014.376803044,749.5,2354566340.830603
23093977.133797582,750.5,2377732550.3774257
23238441.95984798,751.5,2401052572.4743376
23401602.233975485,752.5,2424526407.1213384
23546067.060025882,753.5,2448135783.766898
23672686.23109358,754.5,2471890050.1350555
23835846.505221087,755.5,2495802378.018774
23988809.262215625,756.5,2519877016.3835254
24160467.467287272,757.5,2544107166.8845544
24299833.534771185,758.5,2568489430.349484
24464693.39508752,759.5,2593029755.329974
24615956.565893233,760.5,2617717094.515798
24758721.805754803,761.5,2642555696.872428
24918482.907504655,762.5,2667553210.537713
25076544.423065677,763.5,2692704111.8565397
25225258.214588147,764.5,2718003726.966889
25373972.006110616,765.5,2743452905.661855
25524385.383821912,766.5,2769064819.7344017
25699442.761271216,767.5,2794842443.460359
25855804.69064341,768.5,2820785351.94318
26030012.274998304,769.5,2846898219.0448837
26195721.928409055,770.5,2873178495.386187
26364830.75419746,771.5,2899613009.1741266
26504196.821681373,772.5,2926192412.684664
26654610.19939267,773.5,2952923079.3660064
26806723.16329279,774.5,2979808833.28708
26964784.678853814,775.5,3006848824.6547894
27115198.05656511,776.5,3034044328.1587768
27275808.951409373,777.5,3061400867.4541554
27437269.639348052,778.5,3088918017.6443787
27597030.741097905,779.5,3116598328.1087294
27763590.187603068,780.5,3144441798.8472075
27923351.28935292,781.5,3172443331.1012464
28079713.218725115,782.5,3200614397.077621
28262418.73402415,783.5,3228958395.948709
28425579.008151654,784.5,3257463855.5077357
28585340.109901506,785.5,3286131200.651248
28749350.177123427,786.5,3314961706.068888
28911660.65815652,787.5,3343957496.2433915
29079919.690850515,788.5,3373128343.7953444
29261775.413055133,789.5,3402458102.6559525
29397742.30816139,790.5,3431940399.377008
29566851.133949794,791.5,3461587555.9583797
29727462.028794058,792.5,3491399147.503521
29895721.06148805,793.5,3521372199.736601
30050383.404671416,794.5,3551520309.34713
30245835.81638666,795.5,3581845175.921297
30403897.33194768,796.5,3612331503.183403
30568757.192264017,797.5,3642984389.892014
30737016.22495801,798.5,3673806385.4264135
30906974.84384083,799.5,3704800039.1658845
31080332.635101307,800.5,3735969600.075899
31258789.18492827,801.5,3767305295.535872
31412601.73501722,802.5,3798798627.6148586
31574062.4229559,803.5,3830453845.2783313
31736372.903988995,804.5,3862274347.698667
31904631.936682988,805.5,3894266508.3240747
32079689.31413229,806.5,3926417580.2581377
32222454.553993862,807.5,3958731812.466328
32406009.862387307,808.5,3991216003.2934017
32562371.791759502,809.5,4023859955.222225
32725532.065887008,810.5,4056677689.838856
32909937.167374868,811.5,4089686203.005183
33107089.165278938,812.5,4122877421.686809
